,nazev,adresa,kategorie,lat,lon
0,U Starýho Billa,"Kudelova 1853/5, Brno",restaurace,49.2018664,16.6118621
1,Pizza Coloseum Brno,"Vídeňská 223/1, Brno",restaurace,49.1860734,16.5955074
2,Monte Bú,"Údolní 532/76, Brno",restaurace,49.2011865,16.583982
3,Linden Restaurant & Pension,"Mácova 188/5, Brno",restaurace,49.2642497,16.5646875
4,Ristorante Piazza,"náměstí Svobody 702/9, Brno",restaurace,49.1947871,16.6088967
5,Bistro Marináda Store,"Jiráskova třída 220/15, Brno",restaurace,0.0,0.0
6,Bistro Ocean48,"Palackého třída 704/13, Brno",restaurace,49.220619,16.5963656
7,Mori Restaurant & Lounge,"Česká 142/29, Brno",restaurace,49.1922443,16.6113382
8,Koishi fish & sushi,"Údolní 326/11, Brno",restaurace,49.1965247,16.6012821
9,La Famiglia,"Údolní 306/4, Brno",restaurace,49.1970609,16.6008741
10,Steakový a pivní bar Pod Lékárnou BRNO,"Slovákova 350/1, Brno",restaurace,49.2001193,16.6017438
11,Amici Bistro & Delivery,"Palackého třída 82, Brno",restaurace,49.2239755,16.5949422
12,Soul Bistro,"Jezuitská 7/10, Brno",restaurace,49.1969526,16.6101832
13,Bistro Napoli,"Jundrovská 43, Brno",restaurace,49.2146449,16.558287
14,Steakhouse K1,"Bubeníčkova 11, Brno",restaurace,49.2015141,16.6372529
15,Jean Paul's,"Běhounská 4, Brno",restaurace,49.1959239,16.6091807
16,Bistro na osmičce,"Merhautova 431/8, Brno",restaurace,49.2029601,16.6195877
17,Suzie's Steak pub,"Kounicova 681/10, Brno",restaurace,49.201807,16.60196
18,Pizzerie Ratejna,"Dvořákova 588/13, Brno",restaurace,49.1967883,16.6131874
19,Sushi-Miomi restaurant Brno,"Holandská 10, Brno",restaurace,49.1818738,16.6058316
20,Tusto Titanium,"Nové sady 996/25, Brno",restaurace,49.1874268,16.607223
21,Ristorante e Pizzeria Leonessa,"Sukova 553/2, Brno",restaurace,49.1959948,16.6123246
22,Gyros Taverna Athena,"Štefánikova 71/4, Brno",restaurace,49.2080969,16.6044662
23,Wang Running sushi,"Jánská 453/9, Brno",restaurace,49.1943597,16.6098932
24,Pizzerie Domazzi,"Vodní 258/13, Brno",restaurace,49.189775,16.6044006
25,Pizzerie Gazebo,"Merhautova 977/101, Brno",restaurace,49.210851,16.6240049
26,Modrá růže - Pivní a steakový bar,"Kounicova 2, Brno",restaurace,49.1999992,16.6051622
27,Bistro La Speranza,"Lidická 32, Brno",restaurace,49.2025917,16.6074345
28,Kavárna Pole,"Durďákova 5, Brno",restaurace,49.2035373,16.6186003
29,Sushi bar Tanuki,"Příkop 4, Brno",restaurace,49.2001436,16.6139364
30,Centrum SPORTMAX,"Štouračova 1154/1a, Brno",restaurace,49.2172329,16.5199628
31,Pizzerie a restaurace Tora,"Solniční 239/11, Brno",restaurace,49.1965817,16.6054153
32,Snackbar Adria,"Masarykova 427/31, Brno",restaurace,49.1919939,16.6107649
33,Babinský bistro,"Špilberk 210/1 , Brno",restaurace,49.1942121,16.5990225
34,Bistro La Canttina,"Dukelská 80, Brno",restaurace,49.2103609,16.6330711
35,Bistro Buddy st.23,"Libušina tř. 23, Brno",restaurace,0.0,0.0
36,Bistro Love Patatas,"Běhounská 20, Brno",restaurace,49.1971422,16.6091183
37,Pizzerie Verona,"Ondrova 13/21, Brno",restaurace,49.2353315,16.5280059
38,Bistro Plac,"Kounicova 73, Brno",restaurace,49.2115088,16.5927637
39,Bistro Soupárna,"Údolní 51, Brno",restaurace,49.1981984,16.5939194
40,MyRaw Food bistro,"Komárovská 351/11, Brno",restaurace,49.1810633,16.6196226
41,Bistro Andini,"Pekárenská 330/12, Brno",restaurace,49.2017715,16.6009743
42,Pastificio,"Zelný trh 14-16, Brno",restaurace,49.1923102,16.608949913257575
43,Pizzapunk,"Jana Uhra 6/6, Brno",restaurace,49.2023754,16.5958042
44,Restaurant Don Papa,"Nad Přehradou 9, Brno",restaurace,49.2228414,16.5144027
45,Botanic Bar & Bistro,"Botanická 19, Brno",restaurace,49.2065415,16.6000147
46,Jean Paul's bistro,"Zelný trh 14, Brno",restaurace,49.192705,16.6082557
47,Bistro kavárna U mlsných koček,"Minská 41, Brno",restaurace,49.2110817,16.5836165
48,Little Saigon Brno,"Špitálka 124/37, Brno",restaurace,49.1921936,16.620762
49,Bistro 22,"Purkyňova 125, Brno",restaurace,49.2332708,16.5723009
50,Red Piranha,"Puškinova 1, Brno",restaurace,49.2130923,16.577179
51,Garden Food Concept,"Kounicova 39, Brno",restaurace,49.201663,16.6016239
52,Doe Boy,"Štefánikova 108/39, Brno",restaurace,49.2116727,16.6016591
53,Pizzerie Viva,"Králova 1, Brno",restaurace,49.2110403,16.583156
