název;Adresa
Divadelní studio Véčko;Brno, Veveří 133
Divadlo Polárka;Brno, Tučkova 34
Městské divadlo Brno;Brno, Lidická 16
Buranteatr;Brno, Kounicova 22
Taneční divadlo Mimi Fortunae;Brno, Merhautova 51
Divadlo Aldente;Brno, Špilberk - Hlídka 2
Zbrojovkapůl;Brno, Lazaretní 1
Divadlo Radost;Brno, Bratislavská 32
Divadlo Husa na provázku;Brno, Zelný trh 9
Janáčkovo divadlo;Brno, Rooseveltova 1
Divadelní studio V;Brno, Veveří 313
Divadlo Reduta;Brno, Zelný trh 4
Divadlo Barka;Brno, Svatopluka Čecha 35a
G-studio;Brno, Kounicova 22
Divadlo Bolka Polívky;Brno, Jakubské náměstí 5
Divadlo U stolu;Brno, Zelný trh 9
Divadelní studio Marta;Brno, Bayerova 5
Mahenovo divadlo;Brno, Malinovského nám. 1
Divadlo Líšeň;Brno, Obecká 13
Divadlo Neslyším;Brno, Cejl 87 
Národní Divadlo v Brně;Brno, Dvořákova 11
Divadelní dvůr MdB;Brno, Lidická 12
Divadlo na Orlí / Hudebně-dramatická laboratoř JAMU;Brno, Orlí 19
Divadlo II.PÁD;Brno, Jana Uhra 11
Galerie Třináctka Brno;Brno, Panská 13
Divadlo Za hradbami;Brno, Křížová 20
HaDivadlo;Brno, Poštovská 8D
Paradox divadelní studio;Brno, Křížová 95/20
Muzeum loutek;Brno, Bratislavská 216/32
Husův sbor Královo pole;Brno, Charvatská
