id,date,city,city_district,price,type,area,ownership,building_type,penb,equipment,floor,balcony,terace,lift,garage,coordinates
634729,2020-11-26 08:15:47.568915 UTC,Brno,Veveří,6490000,2+1,82,1,1,C,2,5,true,false,true,false,"49.199187,16.591819"
633888,2020-11-26 08:16:25.552049 UTC,Brno,Veveří,6500000,3+1,76,1,1,D,3,2,true,false,false,false,"49.208817,16.599646"
607596,2020-11-26 08:16:10.911169 UTC,Brno,Staré Brno,3250000,1+kk,25,1,1,G,0,5,true,false,true,false,"49.189118,16.588927"
629791,2020-11-26 08:15:30.264476 UTC,Brno,Horní Heršpice,7177000,4+1,126,1,1,E,2,1,false,false,false,false,"49.168597,16.606103"
629725,2020-11-26 08:16:16.572636 UTC,Brno,Ponava,7800000,3+kk,83,1,1,D,0,4,false,false,true,false,"49.215326,16.59876"
634919,2020-11-26 08:16:01.747558 UTC,Brno,Bystrc,5690000,2+kk,56,1,1,B,3,1,true,false,true,true,"49.222868,16.512874"
632326,2020-11-26 08:16:39.417107 UTC,Brno,Řečkovice,3200000,1+1,38,1,2,G,3,3,false,false,true,false,"49.240056,16.587663"
639836,2020-11-26 08:15:53.185456 UTC,Brno,Královo Pole,6200000,2+1,64,1,1,G,3,2,false,true,false,false,"49.222688,16.587425"
630526,2020-11-26 08:15:50.400027 UTC,Brno,Medlánky,7490000,3+kk,90,1,1,C,2,2,true,false,true,false,"49.245201,16.573667"
630825,2020-11-26 08:16:44.988786 UTC,Brno,Štýřice,4774000,1+kk,43,1,1,B,0,1,false,true,false,false,"49.184859,16.592328"
596950,2020-11-26 08:16:31.073309 UTC,Brno,Staré Brno,5100000,1+kk,58,1,1,B,3,5,true,false,true,false,"49.189708,16.605576"
570092,2020-11-26 08:16:07.961717 UTC,Brno,Zábrdovice,6900000,4+kk,100,1,1,"",3,5,true,false,true,false,"49.1983576,16.6189362"
630829,2020-11-26 08:16:42.187017 UTC,Brno,Štýřice,5567000,2+kk,58,1,1,B,0,2,true,false,false,false,"49.184859,16.592328"
640360,2020-11-26 08:15:41.889112 UTC,Brno,Královo Pole,4290000,1+kk,44,1,1,G,2,3,true,false,true,false,"49.228324,16.594294"
630821,2020-11-26 08:16:33.628873 UTC,Brno,Štýřice,4094000,1+kk,35,1,1,B,0,1,false,true,false,false,"49.184859,16.592328"
513695,2020-11-26 08:16:47.856652 UTC,Brno,Bystrc,5249000,2+kk,64,1,1,B,3,1,false,true,true,false,"49.2144373,16.5106132"
630951,2020-11-26 08:16:19.744158 UTC,Brno,Přízřenice,3990000,2+kk,43,1,1,C,3,2,true,false,false,false,"49.144378,16.597797"
633415,2020-11-26 08:15:36.17929 UTC,Brno,Lesná,3590000,1+1,36,1,2,C,3,6,true,false,true,false,"49.229261,16.622591"
581127,2020-11-26 08:15:33.401785 UTC,Brno,Brněnské Ivanovice,3990000,2+kk,51,1,1,D,2,2,false,false,false,false,"49.154763,16.649253"
537710,2020-11-26 08:15:59.004995 UTC,Brno,Líšeň,5700000,3+1,70,1,2,G,2,1,false,false,true,false,"49.2041058,16.6681339"
639292,2020-11-26 08:15:56.036826 UTC,Brno,Zábrdovice,3100000,1+kk,31,1,1,B,2,2,false,false,true,true,"49.200451,16.627181"
624960,2020-11-26 08:16:53.569801 UTC,Brno,Kohoutovice,5250000,3+1,73,1,2,G,0,3,true,false,true,false,"49.190142,16.528403"
623806,2020-11-26 08:16:36.757374 UTC,Brno,Židenice,3550000,2+kk,42,1,1,G,0,1,false,true,false,false,"49.193584,16.656134"
633098,2020-11-26 08:16:22.803607 UTC,Brno,Řečkovice,4949000,3+1,72,1,2,B,2,6,false,false,true,false,"49.248338,16.585954"
630827,2020-11-26 08:16:50.687299 UTC,Brno,Štýřice,6422000,2+kk,67,1,1,B,0,2,true,false,false,false,"49.184859,16.592328"
640133,2020-11-26 08:15:39.165251 UTC,Brno,Starý Lískovec,4895000,3+1,77,2,2,B,3,7,true,false,true,false,"49.166177,16.567146"
634948,2020-11-26 08:16:04.739298 UTC,Brno,Žabovřesky,5300000,2+1,72,1,1,G,2,2,true,false,false,false,"49.210037,16.573729"
635828,2020-11-26 08:16:13.937191 UTC,Brno,Bohunice,4950000,3+1,75,1,2,C,3,5,true,false,true,false,"49.165956,16.571707"
