nazev;adresa;PSČ
Mateřská školka Dráček;Bayerova 794/25;602 00
Atrium školka;Husova 167/7;602 00
Mateřská škola Safirka;Pavlovská 16;623 00
Mateřská škola Sluníčko – Brno střed;Nám. 28. října 1106/16;602 00
Mateřská škola Sluníčko – Bzenecká;Bzenecká 4226/23,;628 00 
Mateřská škola Sluníčko – Jana Babáka;Jana Babáka 2733/11;612 00 
Mateřská škola Sluníčko – Šrámkova;Šrámkova 432/14;638 00
Mateřská škola Basic Brno;Šámalova 10;615 00
Viki Kids Club;Vodařská 2;619 00
Anglická školička;Staňkova 359/8a; 60200
Veselá školka;Kuklenská 1546/38;61500 
