Název,Ulice/PSČ,PSČ
Základní škola a Mateřská škola,Blanenská 1,621 00
"Základní škola a Mateřská škola Brno, Bosonožské nám. 44, příspěvková organizace",Bosonožské nám. 44,642 00
"Základní škola a Mateřská škola Brno, Zeiberlichova 49",Zeiberlichova 49,644 00
"Základní škola a mateřská škola Brno, Antonínská 3, příspěvková organizace",Antonínská 550/3,602 00
"Základní škola a Mateřská škola Brno Blažkova 9, příspěvková organizace",Blažkova 9,638 00
Základní škola a Mateřská škola,Elišky Přemyslovny 10,625 00
"Základní škola a mateřská škola Brno, Horní 16, příspěvková organizace",Horní 16,639 00
Základní škola a mateřská škola,Horníkova 1,628 00
Základní škola a Mateřská škola,Husova 17,602 00
"Základní škola a Mateřská škola Brno, Chalabalova 2, p. o.",Chalabalova 575/2,623 00
"Základní škola a Mateřská škola, Brno, Jana Broskvy 3, příspěvková organizace",Jana Broskvy 3,643 00
"Základní škola a mateřská škola Brno, Jihomoravské nám. 2",Jihomoravské nám. 2,627 00
Základní škola a mateřská škola,Kotlářská 4,602 00
"Základní škola a mateřská škola Brno, Křenová 21, příspěvková organizace",Křenová 21,602 00
Základní škola a mateřská škola,Křídlovická 30b,603 00
"Základní škola a Mateřská škola Brno, Merhautova 37, příspěvková organizace",Merhautova 37,613 00
"Základní škola a Mateřská škola Brno, Milénova 14",Milénova 14,638 00
Základní škola a mateřská škola,nám. 28.října 22,602 00
Základní škola J. A. Komenského a Mateřská škola,nám. Republiky 10,614 00
"Základní škola a Mateřská škola Brno, náměstí Svornosti 7, příspěvková organizace",nám. Svornosti 7,616 00
"Základní škola a Mateřská škola Brno, Pastviny 70, p. o.",Pastviny 70,624 00
"Základní škola a mateřská škola Brno, příspěvková organizace",Přemyslovo nám. 1,627 00
"Základní škola a Mateřská škola, Brno, Staňkova 14, příspěvková organizace",Staňkova 14,602 00
Základní škola a Mateřská škola,Vedlejší 10,625 00
"Masarykova základní škola a Mateřská škola Brno, Zemědělská 29, příspěvková organizace",Zemědělská 29,613 00
"Waldorfská základní škola a mateřská škola Brno, Plovdivská 8, příspěvková organizace",Plovdivská 8,616 00
